epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52617,3.1243,3.59538,1.67907,0,0,0,0,3.31267,3.6006,1.72801,4e-05,4e-05,4e-05
2,6.21126,2.91292,3.6119,1.58875,0,0,0,0,2.50397,3.59179,1.42899,9.901e-05,9.901e-05,9.901e-05
3,6.96144,2.11951,3.5806,1.37467,0.0125,0.02212,0.00641,0.00209,1.45476,3.55729,1.08449,0.000156832,0.000156832,0.000156832
4,7.7105,1.87533,3.52155,1.15973,0.05,0.0885,0.02732,0.00919,1.68028,3.46846,1.04087,0.000213466,0.000213466,0.000213466
5,8.41816,1.40527,3.45873,1.05528,0.05,0.0885,0.02723,0.00881,1.83363,3.42427,1.04026,0.000268912,0.000268912,0.000268912
6,9.10814,1.32177,3.32351,1.00601,0.0725,0.12832,0.04096,0.01935,1.26147,3.34661,0.91673,0.00032317,0.00032317,0.00032317
7,9.88179,1.0818,3.30413,0.96031,0.10958,0.19395,0.06565,0.04166,0.90757,3.36607,0.83667,0.00037624,0.00037624,0.00037624
8,10.6692,1.23312,3.1705,0.97633,0.15583,0.27581,0.10026,0.06356,0.9461,3.35942,0.83317,0.000428122,0.000428122,0.000428122
9,11.4578,1.36685,3.15033,0.95089,0.15583,0.27581,0.10026,0.06356,0.9461,3.35942,0.83317,0.000478816,0.000478816,0.000478816
10,12.3185,0.96922,3.04456,0.90966,0.21,0.37168,0.14785,0.08321,1.09633,3.37013,0.85516,0.000528322,0.000528322,0.000528322
11,12.992,0.96562,2.98487,0.92668,0.21,0.37168,0.14785,0.08321,1.09633,3.37013,0.85516,0.00057664,0.00057664,0.00057664
12,13.7222,1.24542,2.97071,0.91229,0.26667,0.47198,0.21151,0.14374,0.92508,3.28277,0.83181,0.00062377,0.00062377,0.00062377
13,14.4646,1.23917,2.89838,0.89867,0.26667,0.47198,0.21151,0.14374,0.92508,3.28277,0.83181,0.000669712,0.000669712,0.000669712
14,15.2687,1.10374,2.89512,0.90661,0.30333,0.53687,0.25696,0.18095,0.93303,3.22022,0.83199,0.000714466,0.000714466,0.000714466
15,16.0321,1.01516,2.80671,0.89149,0.30333,0.53687,0.25696,0.18095,0.93303,3.22022,0.83199,0.000758032,0.000758032,0.000758032
16,16.7261,0.90737,2.71531,0.88286,0.30333,0.53687,0.25696,0.18095,0.93303,3.22022,0.83199,0.00080041,0.00080041,0.00080041
17,17.4956,1.10199,2.66132,0.88675,0.28625,0.50664,0.23461,0.14716,0.96346,3.14827,0.83241,0.0008416,0.0008416,0.0008416
18,18.2522,0.97052,2.65142,0.88003,0.28625,0.50664,0.23461,0.14716,0.96346,3.14827,0.83241,0.000881602,0.000881602,0.000881602
19,18.9422,0.96953,2.6942,0.88666,0.28625,0.50664,0.23461,0.14716,0.96346,3.14827,0.83241,0.000920416,0.000920416,0.000920416
20,19.7808,1.10498,2.59984,0.88506,0.30333,0.53687,0.25529,0.1671,0.91241,3.00449,0.83128,0.000958042,0.000958042,0.000958042
21,20.8648,1.05393,2.55867,0.88055,0.30333,0.53687,0.25529,0.1671,0.91241,3.00449,0.83128,0.00099448,0.00099448,0.00099448
22,21.6324,0.87129,2.53712,0.87076,0.30333,0.53687,0.25529,0.1671,0.91241,3.00449,0.83128,0.00102973,0.00102973,0.00102973
23,22.3948,0.94742,2.49096,0.87429,0.30333,0.53687,0.25529,0.1671,0.91241,3.00449,0.83128,0.00106379,0.00106379,0.00106379
24,23.1826,1.06398,2.53834,0.88446,0.3925,0.69469,0.44223,0.29567,0.98401,2.80539,0.84317,0.00109667,0.00109667,0.00109667
25,23.9463,0.95396,2.29405,0.86134,0.3925,0.69469,0.44223,0.29567,0.98401,2.80539,0.84317,0.00112835,0.00112835,0.00112835
26,24.6901,1.05321,2.36146,0.86881,0.3925,0.69469,0.44223,0.29567,0.98401,2.80539,0.84317,0.00115885,0.00115885,0.00115885
27,25.4167,0.96405,2.41055,0.87698,0.3925,0.69469,0.44223,0.29567,0.98401,2.80539,0.84317,0.00118816,0.00118816,0.00118816
28,26.1748,0.9616,2.29364,0.8689,0.3925,0.69469,0.44223,0.29567,0.98401,2.80539,0.84317,0.00121628,0.00121628,0.00121628
29,26.9624,0.97682,2.28843,0.87339,0.504,0.79941,0.63302,0.40878,0.97209,2.47518,0.84173,0.00124322,0.00124322,0.00124322
30,27.7219,0.99692,2.23134,0.88335,0.504,0.79941,0.63302,0.40878,0.97209,2.47518,0.84173,0.00126896,0.00126896,0.00126896
31,28.5531,0.93705,2.08917,0.87259,0.504,0.79941,0.63302,0.40878,0.97209,2.47518,0.84173,0.00129352,0.00129352,0.00129352
32,29.3449,1.00596,2.07697,0.85623,0.504,0.79941,0.63302,0.40878,0.97209,2.47518,0.84173,0.00131689,0.00131689,0.00131689
33,30.1304,0.99769,2.12785,0.84783,0.504,0.79941,0.63302,0.40878,0.97209,2.47518,0.84173,0.00133907,0.00133907,0.00133907
34,30.9707,0.92356,2.31854,0.88794,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.0013466,0.0013466,0.0013466
35,31.7548,1.13759,1.85129,0.86324,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.0013268,0.0013268,0.0013268
36,32.5759,1.03039,1.94779,0.86821,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.001307,0.001307,0.001307
37,33.365,0.99175,1.904,0.86729,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.0012872,0.0012872,0.0012872
38,34.0689,1.04654,2.05129,0.86689,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.0012674,0.0012674,0.0012674
39,34.7058,0.99915,1.73098,0.85159,0.88632,0.73304,0.86265,0.60068,0.91907,1.92352,0.84058,0.0012476,0.0012476,0.0012476
40,35.6505,0.90816,1.8606,0.8668,0.90129,0.82823,0.89824,0.64323,0.89362,1.51016,0.83824,0.0012278,0.0012278,0.0012278
41,36.4698,1.17996,1.87325,0.90741,0.90129,0.82823,0.89824,0.64323,0.89362,1.51016,0.83824,0.001208,0.001208,0.001208
42,37.2159,1.08063,1.88645,0.86025,0.90129,0.82823,0.89824,0.64323,0.89362,1.51016,0.83824,0.0011882,0.0011882,0.0011882
43,37.9686,0.91043,1.91532,0.8695,0.90129,0.82823,0.89824,0.64323,0.89362,1.51016,0.83824,0.0011684,0.0011684,0.0011684
44,38.8223,0.86115,1.81605,0.85814,0.90129,0.82823,0.89824,0.64323,0.89362,1.51016,0.83824,0.0011486,0.0011486,0.0011486
45,39.583,0.91581,1.71812,0.85891,0.90508,0.87902,0.91417,0.65838,0.90196,1.12934,0.84825,0.0011288,0.0011288,0.0011288
46,40.3159,1.04577,1.6481,0.85316,0.90508,0.87902,0.91417,0.65838,0.90196,1.12934,0.84825,0.001109,0.001109,0.001109
47,41.0727,0.92457,1.63511,0.85616,0.90508,0.87902,0.91417,0.65838,0.90196,1.12934,0.84825,0.0010892,0.0010892,0.0010892
48,41.8681,0.91695,1.61867,0.83652,0.90508,0.87902,0.91417,0.65838,0.90196,1.12934,0.84825,0.0010694,0.0010694,0.0010694
49,42.6485,0.90706,1.71175,0.86105,0.90508,0.87902,0.91417,0.65838,0.90196,1.12934,0.84825,0.0010496,0.0010496,0.0010496
50,43.4247,0.91545,1.65528,0.85134,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.0010298,0.0010298,0.0010298
51,44.1546,0.86503,1.67123,0.84546,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.00101,0.00101,0.00101
52,44.863,0.94443,1.51888,0.85246,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.0009902,0.0009902,0.0009902
53,45.5929,0.85408,1.54209,0.8511,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.0009704,0.0009704,0.0009704
54,46.292,0.84922,1.49392,0.85949,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.0009506,0.0009506,0.0009506
55,47.0364,0.90402,1.56614,0.8478,0.88034,0.85724,0.90381,0.68234,0.84075,0.92799,0.85051,0.0009308,0.0009308,0.0009308
56,47.7876,0.84444,1.51123,0.84837,0.93689,0.89676,0.93615,0.72867,0.77747,0.88684,0.83964,0.000911,0.000911,0.000911
57,48.5521,0.82592,1.52149,0.84697,0.93689,0.89676,0.93615,0.72867,0.77747,0.88684,0.83964,0.0008912,0.0008912,0.0008912
58,49.2347,0.80263,1.42703,0.83431,0.93689,0.89676,0.93615,0.72867,0.77747,0.88684,0.83964,0.0008714,0.0008714,0.0008714
59,49.936,0.89542,1.40382,0.83887,0.93689,0.89676,0.93615,0.72867,0.77747,0.88684,0.83964,0.0008516,0.0008516,0.0008516
60,50.8566,0.80019,1.5511,0.85095,0.93689,0.89676,0.93615,0.72867,0.77747,0.88684,0.83964,0.0008318,0.0008318,0.0008318
61,51.6697,1.00976,1.44651,0.84986,0.94994,0.90968,0.94634,0.75597,0.73437,0.91516,0.83392,0.000812,0.000812,0.000812
62,52.4116,0.85421,1.37389,0.84302,0.94994,0.90968,0.94634,0.75597,0.73437,0.91516,0.83392,0.0007922,0.0007922,0.0007922
63,53.202,0.97921,1.39401,0.84775,0.94994,0.90968,0.94634,0.75597,0.73437,0.91516,0.83392,0.0007724,0.0007724,0.0007724
64,53.9463,0.88536,1.39361,0.84544,0.94994,0.90968,0.94634,0.75597,0.73437,0.91516,0.83392,0.0007526,0.0007526,0.0007526
65,54.7643,0.81235,1.23112,0.82875,0.94994,0.90968,0.94634,0.75597,0.73437,0.91516,0.83392,0.0007328,0.0007328,0.0007328
66,55.5803,0.85762,1.30519,0.85103,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.000713,0.000713,0.000713
67,56.3732,0.78843,1.25371,0.84744,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.0006932,0.0006932,0.0006932
68,57.202,0.85882,1.23466,0.82363,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.0006734,0.0006734,0.0006734
69,57.9542,0.80425,1.2981,0.83665,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.0006536,0.0006536,0.0006536
70,58.7487,0.81906,1.19865,0.8427,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.0006338,0.0006338,0.0006338
71,59.5705,0.80401,1.24223,0.83315,0.94824,0.9056,0.94787,0.7664,0.69832,0.8871,0.83057,0.000614,0.000614,0.000614
72,60.3646,0.81522,1.29808,0.8429,0.94867,0.90634,0.95069,0.78107,0.69498,0.86893,0.82944,0.0005942,0.0005942,0.0005942
73,61.1429,0.84306,1.2006,0.85342,0.94867,0.90634,0.95069,0.78107,0.69498,0.86893,0.82944,0.0005744,0.0005744,0.0005744
74,61.9483,0.7813,1.23098,0.82804,0.94867,0.90634,0.95069,0.78107,0.69498,0.86893,0.82944,0.0005546,0.0005546,0.0005546
75,62.7465,0.83384,1.18153,0.83969,0.94867,0.90634,0.95069,0.78107,0.69498,0.86893,0.82944,0.0005348,0.0005348,0.0005348
76,63.5189,0.8177,1.25635,0.8468,0.94867,0.90634,0.95069,0.78107,0.69498,0.86893,0.82944,0.000515,0.000515,0.000515
77,64.3702,0.94134,1.24245,0.84154,0.9484,0.90782,0.95289,0.77994,0.69405,0.86349,0.8293,0.0004952,0.0004952,0.0004952
78,65.1898,0.84238,1.06527,0.82241,0.9484,0.90782,0.95289,0.77994,0.69405,0.86349,0.8293,0.0004754,0.0004754,0.0004754
79,65.9378,0.77557,1.21851,0.83742,0.9484,0.90782,0.95289,0.77994,0.69405,0.86349,0.8293,0.0004556,0.0004556,0.0004556
80,66.6388,0.81818,1.11975,0.82897,0.9484,0.90782,0.95289,0.77994,0.69405,0.86349,0.8293,0.0004358,0.0004358,0.0004358
81,67.3505,0.79875,1.18995,0.82894,0.9484,0.90782,0.95289,0.77994,0.69405,0.86349,0.8293,0.000416,0.000416,0.000416
82,68.0648,0.82611,1.17569,0.83572,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.0003962,0.0003962,0.0003962
83,68.8031,0.80185,1.04012,0.82144,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.0003764,0.0003764,0.0003764
84,69.5098,0.77301,1.1018,0.83236,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.0003566,0.0003566,0.0003566
85,70.2043,0.82131,1.13649,0.82928,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.0003368,0.0003368,0.0003368
86,70.972,0.81005,0.99487,0.83747,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.000317,0.000317,0.000317
87,71.7569,0.74284,1.09215,0.82918,0.94822,0.91831,0.95553,0.79229,0.67308,0.85506,0.82971,0.0002972,0.0002972,0.0002972
88,72.5673,0.78579,1.02691,0.83497,0.94763,0.91962,0.95862,0.79903,0.66585,0.842,0.8288,0.0002774,0.0002774,0.0002774
89,73.2958,0.77486,1.00256,0.8386,0.94763,0.91962,0.95862,0.79903,0.66585,0.842,0.8288,0.0002576,0.0002576,0.0002576
